Target_Name,COS_Observations,COS_ASN_ID,COS_QUALCOM1,COS_QUALCOM2,COS_QUALCOM3,STIS_Median_FluxRatio,STIS_Observations,FOS_Median_FluxRatio,FOS_Observations,HRS1_Median_FluxRatio,HRS1_Observations,HRS2_Median_FluxRatio,HRS2_Observations,IUE_Median_FluxRatio,IUE_Observations,FUSE_Median_FluxRatio,FUSE_Observations
BI237,8,LDA927010;LDA927020,,,,0.03292429161157881,5,,0,,0,,0,,0,0.0076366257174285985,1
GJ176,13,LC2601010;LC2601020;LCK126010;LCK126020;LCK126030,,,,-0.41852658440397,5,,0,,0,,0,,0,,0
GJ436,19,LBPI07010;LBPI07020;LCK129010;LCK129020;LCK129030;LDI401010;LDI402010;LDI403010;LDI404010;LDI405010;LDI406010;LDI457010;LDI458010,,,,-0.4426944908802386,10,,0,,0,,0,,0,,0
GJ581,15,LBGH02010;LBGH02020;LBGH02030;LBGH02040;LBGH02050;LBGH02060;LBGH02070;LBGH04010;LBGH04020;LBGH04030;LBGH04040;LBGH04050;LCK120010;LCK120020;LCK120030,,,,-0.8601502714283527,10,,0,,0,,0,,0,,0
GJ581B,7,LBGH02010;LBGH02020;LBGH02030;LBGH02040;LBGH02050;LBGH02060;LBGH02070,,,,-0.9474273068518421,4,,0,,0,,0,,0,,0
GJ649,5,LDLM11010,,,,-0.7526671591465869,7,,0,,0,,0,,0,,0
GJ667C,3,LCK123010;LCK123020;LCK123030,,,,-0.10537089443675225,6,,0,,0,,0,,0,,0
GJ674,1,LDLM20010,,,,-0.7627702766719618,6,,0,,0,,0,,0,,0
GJ676A,8,LDLM05010;LDLMZ5010,,,,-0.6622188528166884,12,,0,,0,,0,,0,,0
GJ699,5,LDLM23010,,,,-0.7716771417675288,8,,0,,0,,0,,0,,0
GJ832,7,LBPI05010;LBPI05020;LBPI05030;LBPI05040;LCK117010;LCK117020;LCK117030,,,,-0.16714341830662233,6,,0,,0,,0,,0,,0
GJ849,9,LDLM16010;LDLM16020;LDLM16030;LDLM17010,,,,-0.3312134478628903,2,,0,,0,,0,,0,,0
